station,line,closed,type_of_closure,current_condition,details,coordinates,image
Granborough Road,Metropolitan,04-Jul-36,Station and route closed,Demolished,Closed when Verney Junction service was cut back to Aylesbury due to low passenger numbers.,51.9116 -0.9176,http://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Aylesbury%2C_High_Wycombe%2C_Princes_Risboro%2C_Quainton_Road_%26_Verney_Ashendon_RJD_146.jpg/220px-Aylesbury%2C_High_Wycombe%2C_Princes_Risboro%2C_Quainton_Road_%26_Verney_Ashendon_RJD_146.jpg
Great Missenden,Metropolitan,10-Sep-61,Service withdrawn,Operated by National Rail,The service was cut back to Amersham when electric locomotive-hauled trains were replaced with A60 Stock trains.,51.704 -0.709,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Great_Missenden_railway_station_1.jpg/265px-Great_Missenden_railway_station_1.jpg
Grove Road (Hammersmith),Metropolitan,31-Dec-06,Service withdrawn,Demolished !Subsequently closed and demolished,Service withdrawn due to low passenger numbers; station was closed in 1916 by London and South Western Railway.,51.49444 -0.22583,http://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Hammersmith_Railway_Map%2C_1889.jpg/250px-Hammersmith_Railway_Map%2C_1889.jpg
Hanwell,District,30 September 1885,Service withdrawn,Operated by National Rail,The Windsor service was cut back to Ealing Broadway due to low passenger numbers.,51.5116 -0.3389,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Hanwell_railway_station_London.jpg/240px-Hanwell_railway_station_London.jpg
Hatch End,Bakerloo,24-Sep-82,Service withdrawn,Operated by National Rail,Former peak hours only service withdrawn to save money following cancellation of Greater London Council's Fares Fair policy.,51.6095 -0.3681,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Hatch_End_stn_building.JPG/240px-Hatch_End_stn_building.JPG
Hayes,District,30 September 1885,Service withdrawn,Operated by National Rail,The Windsor service was cut back to Ealing Broadway due to low passenger numbers. It is now Hayes &amp; Harlington station.,51.502 -0.4201,http://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Hayes_%26_Harlington_stn_building2.JPG/240px-Hayes_%26_Harlington_stn_building2.JPG
Headstone Lane,Bakerloo,24-Sep-82,Service withdrawn,Operated by National Rail,Former peak hours only service withdrawn to save money following cancellation of Greater London Council's Fares Fair policy.,51.6024 -0.3564,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Headstone_Lane_stn_building.JPG/240px-Headstone_Lane_stn_building.JPG
Hillingdon,"Metropolitan, Piccadilly",05-Dec-92,Station resited,Demolished,The original station was to the east of the current station and was closed to allow widening of the A40 road.,51.5538 -0.45,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Hillingdon_tube_station_inside_entrance.jpg/240px-Hillingdon_tube_station_inside_entrance.jpg
Holborn,Piccadilly,30-Sep-94,Partial,Remainder of station in use,The station has two disused platforms that served the Aldwych branch; one was taken out of use in 1917.,51.5174 -0.1201,http://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Holborn_Tube_Station_-_April_2006.jpg/240px-Holborn_Tube_Station_-_April_2006.jpg
Hounslow Town,District,01-May-09,"Station and route closed, station resited",Demolished,"On a now-closed branch of the Metropolitan District Railway, from what is now the Piccadilly line near Hounslow East, it was closed when Hounslow East station was opened.",51.47167 -0.35444,http://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Hounslow_Underground_stations.png/600px-Hounslow_Underground_stations.png
King's Cross St. Pancras,Metropolitan,09-Mar-41,Station resited,Building remains,The original platforms were to the east of the current ones; the station was moved to make interchange with main line station easier.,51.5302 -0.1241,http://upload.wikimedia.org/wikipedia/commons/thumb/8/83/King%27s_Cross_St_Pancras_underground_station_entrance_-_IMG_0746.JPG/240px-King%27s_Cross_St_Pancras_underground_station_entrance_-_IMG_0746.JPG
King William Street,Northern,24 February 1900,Station and route closed,Demolished but underground platforms remain,"The original terminus of the City &amp; South London Railway, which was closed when the line was extended on a new alignment to Bank; converted for use as an air-raid shelter during the war.",51.51028 -0.08694,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Site_of_King_William_Street_Underground_Station.jpg/250px-Site_of_King_William_Street_Underground_Station.jpg
Langley,District,30 September 1885,Service withdrawn,Operated by National Rail,The Windsor service was cut back to Ealing Broadway due to low passenger numbers.,51.508 -0.542,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Langley_Railway_Station.jpg/265px-Langley_Railway_Station.jpg
Leigh-on-Sea,District,30-Sep-39,Service withdrawn,Operated by National Rail,Limited excursion service withdrawn as a wartime measure and not restarted.,51.541 0.640,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Leigh-on-Sea_railway_station_-_Geograph-2022990-by-John-Allan.jpg/265px-Leigh-on-Sea_railway_station_-_Geograph-2022990-by-John-Allan.jpg
Lord's,Metropolitan,19-Nov-39,Station closed,Demolished,"Closed to increase capacity on Metropolitan line, following opening of nearby St John's Wood station on the Bakerloo line (now the Jubilee line).",51.53000 -0.16917,http://upload.wikimedia.org/wikipedia/commons/thumb/9/95/LUL-S-Stock-arrives-Croxley.jpg/100px-LUL-S-Stock-arrives-Croxley.jpg
Mark Lane,"District, Circle",04-Feb-67,Station resited,Building remains,Closed when current Tower Hill station to the east was built to a provide better interchange with mainline services at Fenchurch Street.,51.51056 -0.08000,http://upload.wikimedia.org/wikipedia/en/thumb/d/d3/MarkLaneSubway2.jpg/240px-MarkLaneSubway2.jpg
Marlborough Road,Metropolitan,19-Nov-39,Station closed,Building remains,"Closed to increase capacity on Metropolitan line, following opening of nearby St John's Wood station on the Bakerloo line (now the Jubilee line).",51.53611 -0.17667,http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Marlborough_Road_tube_station_1.jpg/300px-Marlborough_Road_tube_station_1.jpg
New Cross,East London,22-Dec-07,Service withdrawn,Operated by National Rail,Now operated by London Overground.,51.4766 -0.0327,http://upload.wikimedia.org/wikipedia/commons/thumb/4/43/New_Cross_Station%2C_SE14_-_geograph.org.uk_-_874214.jpg/240px-New_Cross_Station%2C_SE14_-_geograph.org.uk_-_874214.jpg
New Cross Gate,East London,22-Dec-07,Service withdrawn,Operated by National Rail,Now operated by London Overground.,51.4755 -0.0402,http://upload.wikimedia.org/wikipedia/commons/thumb/8/87/New_Cross_Gate_station.jpg/240px-New_Cross_Gate_station.jpg
Northfields & Little Ealing,Piccadilly,18-May-32,Station resited,Demolished,"Moved to allow access into new depot at Northfields built for Piccadilly line trains; when open, this station was served by the District line.",51.4994 -0.3142,http://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Northfields_station_building.JPG/240px-Northfields_station_building.JPG
North Weald,Central,30-Sep-94,Station and route closed,Building remains,Closed due to low passenger numbers; reopened in 2004 as part of the Epping Ongar Railway.,51.7117 0.1617,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/North_Weald_stn_building_viewed_from_platform_2012.JPG/265px-North_Weald_stn_building_viewed_from_platform_2012.JPG
Ongar,Central,30-Sep-94,Station and route closed,Building remains,Closed due to low passenger numbers; reopened in 2004 as part of the Epping Ongar Railway.,51.7089 0.2428,http://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Ongar_station_building_2012.JPG/265px-Ongar_station_building_2012.JPG
Osterley & Spring Grove,Piccadilly,24-Mar-34,Station resited,Building remains as retail unit; platforms partially remain,"Closed when new Osterley station was opened to the south-west, to provide additional capacity.",51.4814 -0.3522,http://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Osterley_station_building2.JPG/240px-Osterley_station_building2.JPG
Park Royal & Twyford Abbey,Piccadilly,05-Jul-31,Station resited,Demolished,"Closed when station was relocated to Park Royal to provide more convenient access from Western Avenue; when open, this station was served by the District line.",51.53139 -0.28944,http://upload.wikimedia.org/wikipedia/commons/thumb/d/db/1973_Stock_at_Ruislip_Manor_1.jpg/100px-1973_Stock_at_Ruislip_Manor_1.jpg
Preston Road,Metropolitan,02-Jan-32,Station resited,Demolished,A small halt station was reconstructed to the west when the number of tracks through the station was increased from two to four.,51.5722 -0.2953,http://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Preston_Road_Tube_Station.jpg/240px-Preston_Road_Tube_Station.jpg
Quainton Road,Metropolitan,05-Jul-36,Station closed,Building remains,Closed when Verney Junction service was cut back to Aylesbury due to low passenger numbers; temporarily reopened for war time operations between 1943 and 1948; the station is the home of the Buckinghamshire Railway Centre and is used for occasional special services from Aylesbury.,51.86381 -0.92966,http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Quainton_Road_Station_3.jpg/265px-Quainton_Road_Station_3.jpg
Rotherhithe,East London,22-Dec-07,"Service withdrawn, transferred to National Rail",Operated by National Rail,Now operated by London Overground.,51.5008 -0.0522,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Rotherhithe_Station_Jan2012.jpg/240px-Rotherhithe_Station_Jan2012.jpg
St Mary's (Whitechapel Road),District,30-Apr-38,Station closed,Demolished !Bombed in World War II; demolished,Closed when Aldgate East was rebuilt closer to its location; converted for use as an air-raid shelter during the war.,51.51778 -0.064583,http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/St_marys_station_1916.jpg/240px-St_marys_station_1916.jpg
Shadwell,East London,22-Dec-07,"Service withdrawn, transferred to National Rail",Operated by National Rail,Now operated by London Overground.,51.5112 -0.0569,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Shadwell_station_%28East_London_Line%29_south_entrance_April2010.jpg/240px-Shadwell_station_%28East_London_Line%29_south_entrance_April2010.jpg
Shepherd's Bush,Hammersmith & City,31-Mar-14,Station resited,Demolished,Station replaced by Shepherd's Bush (now Shepherd's Bush Market) to the north and Goldhawk Road to the south.,51.5058 -0.2264,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Shepherd%27s_Bush_Market_stn_west_entrance.JPG/240px-Shepherd%27s_Bush_Market_stn_west_entrance.JPG
Shoeburyness,District,30-Sep-39,Service withdrawn,Operated by National Rail,Limited excursion service withdrawn as a wartime measure and not restarted.,51.531 0.795,http://upload.wikimedia.org/wikipedia/commons/thumb/4/45/The_Buffers_at_Shoeburyness_-_geograph.org.uk_-_41380.jpg/265px-The_Buffers_at_Shoeburyness_-_geograph.org.uk_-_41380.jpg
Shoreditch,East London,09-Jun-06,Station and route closed,Building remains,Closed to allow extension of East London Line on new alignment across site Replaced by London Overground station Shoreditch High Street.,51.52278 -0.07083,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Shoreditch_tube_station_lar.jpg/300px-Shoreditch_tube_station_lar.jpg
Slough,District,30 September 1885,Service withdrawn,Operated by National Rail,The Windsor service was cut back to Ealing Broadway due to low passenger numbers.,51.512 -0.592,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Slough_station_building.JPG/265px-Slough_station_building.JPG
South Acton,District,28-Feb-59,Station and route closed,Demolished,"On a short branch of the District line from Acton Town, it was closed due to low passenger numbers.",51.4994 -0.2707,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/South_Acton_stn_west_entrance.JPG/240px-South_Acton_stn_west_entrance.JPG
Southend Central,District,30-Sep-39,Service withdrawn,Operated by National Rail,Limited excursion service withdrawn as a wartime measure and not restarted.,51.53722 0.71167,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Southend_Central_-_geograph.org.uk_-_41377.jpg/265px-Southend_Central_-_geograph.org.uk_-_41377.jpg
Southall,District,30 September 1885,Service withdrawn,Operated by National Rail,The Windsor service was cut back to Ealing Broadway due to low passenger numbers.,51.506 -0.3783,http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Southall_station_building.JPG/240px-Southall_station_building.JPG
South Harrow,Piccadilly,04-Jul-35,Station resited,Building remains,Closed when station was relocated a short distance to the north.,51.5647 -0.3522,http://upload.wikimedia.org/wikipedia/commons/thumb/2/22/South_Harrow_stn_southern_entrance.JPG/240px-South_Harrow_stn_southern_entrance.JPG
South Kentish Town,Northern,05-Jun-24,Station closed,Building remains,Closed due to a strike at the Underground's Lots Road Power Station and never reopened due to low passenger numbers.,51.54528 -0.14167,http://upload.wikimedia.org/wikipedia/commons/thumb/4/43/South_Kentish_Town_former_tube_station_2005.jpg/250px-South_Kentish_Town_former_tube_station_2005.jpg
Stoke Mandeville,Metropolitan,10-Sep-61,Service withdrawn,Operated by National Rail,The service was cut back to Amersham when electric locomotive-hauled trains were replaced with A60 Stock trains.,51.788 -0.784,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Stoke_Mandeville_railway_station_1.jpg/265px-Stoke_Mandeville_railway_station_1.jpg
Surrey Quays,East London,22-Dec-07,"Service withdrawn, transferred to National Rail",Operated by National Rail,Now operated by London Overground.,51.49358 -0.04717,http://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Surrey_Quays_stn_main_entrance_April2010.jpg/240px-Surrey_Quays_stn_main_entrance_April2010.jpg
Swiss Cottage,Metropolitan,17-Aug-40,Station closed,Demolished,Closed as a wartime measure and not reopened; the adjacent Bakerloo line (now Jubilee line) station briefly operated as an interchange.,51.54361 -0.17667,http://upload.wikimedia.org/wikipedia/commons/thumb/9/95/LUL-S-Stock-arrives-Croxley.jpg/100px-LUL-S-Stock-arrives-Croxley.jpg
Tower of London,"District, Circle",12 October 1884,Station resited,Demolished,"A short-lived station on the site of the present Tower Hill station, which was closed when Mark Lane (also now closed) was opened.",51.51000 -0.07667,http://upload.wikimedia.org/wikipedia/commons/thumb/9/95/LUL-S-Stock-arrives-Croxley.jpg/100px-LUL-S-Stock-arrives-Croxley.jpg
Uxbridge,"Metropolitan, Piccadilly",03-Dec-38,Station resited,Demolished,Closed when the current station was opened on a new alignment closer to Uxbridge town centre.,51.5459 -0.4783,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Uxbridge_tube_station_-_Ewan-M.jpg/240px-Uxbridge_tube_station_-_Ewan-M.jpg
Uxbridge Road,Metropolitan,19-Oct-40,Station closed,Demolished,"Closed after bombing of the line during World War II, due to low passenger numbers; National Rail services on the line continue, and Shepherd's Bush station is a short distance to the north.",51.5054 -0.2169,http://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Extract_of_1900_map_showing_Shepherd%27s_Bush_Green.png/193px-Extract_of_1900_map_showing_Shepherd%27s_Bush_Green.png
Verney Junction,Metropolitan,04-Jul-36,Station and route closed,Demolished,Closed when service was cut back to Aylesbury due to low passenger numbers.,51.9406 -0.9300,http://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Verney_Junction_Station.jpg/280px-Verney_Junction_Station.jpg
Waddesdon,Metropolitan,05-Jul-36,Station and route closed,Demolished,Closed when Verney Junction service was cut back to Aylesbury due to low passenger numbers.,51.8554 -0.9021,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Waddesdon_Station.jpg/240px-Waddesdon_Station.jpg
Waddesdon Road,Metropolitan,30-Nov-35,Station and route closed,Demolished,Closed when Brill branch was closed due to very low passenger numbers.,51.8519 -0.9468,http://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Waddesdon_Road_railway_station.jpg/270px-Waddesdon_Road_railway_station.jpg
Wapping,East London,22-Dec-07,"Service withdrawn, transferred to National Rail",Operated by National Rail,Now operated by London Overground.,51.5044 -0.0558,http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Wapping_station_building_April2010.jpg/240px-Wapping_station_building_April2010.jpg
Watford High Street,Bakerloo,24-Sep-82,Service withdrawn,Operated by National Rail,Former peak hours only service withdrawn to save money following cancellation of Greater London Council's Fares Fair policy.,51.652597 -0.391812,http://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Watford_High_Street_stn_building.JPG/240px-Watford_High_Street_stn_building.JPG
Watford Junction,Bakerloo,24-Sep-82,Service withdrawn,Operated by National Rail,Former peak hours only service withdrawn to save money following cancellation of Greater London Council's Fares Fair policy.,51.6635 -0.3958,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Watford_Junction_stn_entrance.JPG/240px-Watford_Junction_stn_entrance.JPG
Wendover,Metropolitan,10-Sep-61,Service withdrawn,Operated by National Rail,The service was cut back to Amersham when electric locomotive-hauled trains were replaced with A60 Stock trains.,51.762 -0.747,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Wendover_Railway_Station.jpg/265px-Wendover_Railway_Station.jpg
Westbourne Park,Metropolitan,31 October 1871,Station resited,Demolished,Closed when current station was opened in 1871.,51.5211 -0.2011,http://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Westbourne_Park_stn_building.JPG/240px-Westbourne_Park_stn_building.JPG
Westcott,Metropolitan,30-Nov-35,Station and route closed,Building remains,Closed when Brill branch was closed due to very low passenger numbers.,51.84500 -0.95556,http://upload.wikimedia.org/wikipedia/en/thumb/9/91/Westcott_railway_station%2C_1935.jpg/280px-Westcott_railway_station%2C_1935.jpg
West Drayton,District,30 September 1885,Service withdrawn,Operated by National Rail,The Windsor service was cut back to Ealing Broadway due to low passenger numbers.,51.5099417 -0.4722639,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/West_Drayton_stn_main_entrance.JPG/240px-West_Drayton_stn_main_entrance.JPG
Windsor,District,30 September 1885,Service withdrawn,Operated by National Rail,The Windsor service was cut back to Ealing Broadway due to low passenger numbers. The station is now Windsor & Eton Central.,"51.483, -0.610",http://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Windsorcentral.jpg/176px-Windsorcentral.jpg
Winslow Road,Metropolitan,04-Jul-36,Station and route closed,Demolished,Closed when Verney Junction service was cut back to Aylesbury due to low passenger numbers.,51.9277 -0.9104,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Winslow_Road_railway_station.jpg/240px-Winslow_Road_railway_station.jpg
White City,Hammersmith & City,24-Oct-59,Station closed,Demolished,This station closed following a fire. Wood Lane station is close to its location.,51.5089917 -0.2250306,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Hammersmith_and_City_Line_-_geograph.org.uk_-_24573.jpg/199px-Hammersmith_and_City_Line_-_geograph.org.uk_-_24573.jpg
Wood Lane,Central,22-Nov-47,Station resited,Demolished,"This awkwardly arranged station was closed when its replacement, White City, opened to the north.",51.5091139 -0.224361,http://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Extract_of_1900_map_showing_Shepherd%27s_Bush_Green.png/250px-Extract_of_1900_map_showing_Shepherd%27s_Bush_Green.png
Wood Siding,Metropolitan,30-Nov-35,Station and route closed,Demolished,Closed when Brill branch was closed due to very low passenger numbers.,51.833 -1.0244,http://upload.wikimedia.org/wikipedia/en/thumb/1/17/Wood_Siding_station.jpg/290px-Wood_Siding_station.jpg
Wotton,Metropolitan,30-Nov-35,Station and route closed,Demolished,Closed when Brill branch was closed due to very low passenger numbers.,51.8333 -0.9926,http://upload.wikimedia.org/wikipedia/en/thumb/3/3d/Wotton_station_%28Brill_Tramway%29_1906.jpg/300px-Wotton_station_%28Brill_Tramway%29_1906.jpg
York Road,Piccadilly,17-Sep-32,Station closed,Building remains and platforms visible between King's Cross and Caledonian Road,Closed due to low passenger numbers.,51.53833 -0.12250,http://upload.wikimedia.org/wikipedia/commons/thumb/1/11/YorkRoad1.jpg/250px-YorkRoad1.jpg
